OfficeRecordId,OfficeRecordFullName,OfficeRecordPersonId,Address,City,Zip
4469,Christopher Marte,7801,65 East Broadway,New York,10002
4471,Erik D. Bottcher,7802,"224 West 30th St, Suite 1206",New York,10001
4473,Shaun Abreu,7804,500 West 141st Street,New York,10031
4475,Joann Ariola ,7819,"Ozone Park Office:
93-06 101st Avenue
Ozone Park, NY 11416
Tel: 718-738-1083
Fax: 718-738-1918

Rockaway Park Office:
114-12 Beach Channel Drive, Suite 1
Rockaway Park, NY 11694
Tel: 718-318-6411
Fax: 718-634-0700",Ozone Park,11416
4476,Alexa Avilés,7825,"4417 4th Avenue, Ground Floor",Brooklyn,11220
4479,Joseph C. Borelli,7264,"2955 Veterans Road West, Suite 2E",Staten Island,10309
4480,Justin L. Brannan,7748,8203 3rd Avenue,Brooklyn,11209
4482,Selvena N. Brooks-Powers,7796,"Rockaway Office:
1931 Mott Avenue, Suite 410
Far Rockaway, NY 11691
Tel: 718-471-7014
Fax: 718-327-4794

Laurelton Office:
222-02 Merrick Blvd.
Laurelton, NY 11413
Tel: 718-527-4356
Fax: 718-527-4402",Far Rockaway,11691
4483,Tiffany Cabán,7813,30-83 31st Street,Astoria,11102
4484,David M. Carr,7833,"900 South Avenue, Suite 403",Staten Island,10314
4485,Carmen N. De La Rosa,7806,"618 West 177th Street, Ground Floor",New York,10033
4487,Amanda Farías,7810,778 Castle Hill Avenue,Bronx,10473
4492,Shahana K. Hanif,7826,"456 5th Avenue, 3rd Floor
 Brooklyn, NY 11215
 Phone: 718-499-1090
 Fax: 718-499-1997

 Satellite Office:
 Tuesdays & Wednesdays 2:00PM-5:00PM
 486 McDonald Avenue
 Brooklyn, NY 11218",Brooklyn,11215
4493,Kamillah Hanks,7832,"130 Stuyvesant Place, 6th Floor",Staten Island,10301
4494,Robert F. Holden,7746,58-38 69th Street,Maspeth,11378
4495,Crystal Hudson,7822,"55 Hanson Place, Suite 778",Brooklyn,11217
4497,Rita C. Joseph,7827,930 Flatbush Avenue,Brooklyn,11226
4498,Ari Kagan,7830," 445 Neptune Avenue, Community Room 2C
 Brooklyn, NY 11224
 Phone: 718-373-9673
 Fax: 718-373-0195

 Bensonhurst/Gravesend:
 2015 Stillwell Ave
 Brooklyn, NY 11223
 Phone: 718-307-7151
 Fax: 718-996-1300",Brooklyn,11224
4500,Linda Lee,7814,"73-03 Bell Boulevard, 1N",Oakland Gardens ,11364
4501,Farah N. Louis,7785,1434 Flatbush Avenue,Brooklyn,11210
4505,Mercedes Narcisse,7829,"5827 Flatlands Avenue, Ground Floor",Brooklyn,11234
4508,Vickie Paladino,7811,20-15 Francis Lewis Blvd.,Whitestone,11357
4510,Lincoln Restler,7820,410 Atlantic Avenue,Brooklyn ,11217
4513,Pierina Ana Sanchez,7808,"2065 Morris Avenue, Ground Floor",Bronx,10453
4518,Inna Vernikov,7831,1711 Gravesend Neck Road,Brooklyn,11229
4519,Nantasha M. Williams,7817,172-12 Linden Boulevard,St. Albans,11434
4520,Julie Won,7816,"37-04 Queens Boulevard, Suite 205",Long Island City,11101
4470,Carlina Rivera ,7740,254 East 4th Street,New York,10009
4509,Keith Powers ,7741,"211 East 43rd Street, Suite 1205",New York,10017
4503,Julie Menin,7803,444 East 75th Street,New York,10021
4481,Gale A. Brewer,5259,563 Columbus Ave (at 87th Street),New York,10024
4477,Diana I. Ayala,7742,"105 East 116th Street 
New York, NY 10029
Phone: 212-828-9800
Fax: 212-722-6378

214 St. Ann's Avenue 
Bronx, New York 10454
Phone: 347-297-4922
Fax: 347-270-1213",Bronx and Manhattan,10029
4496,Kristin Richardson Jordan,7805,,,
4486,Eric Dinowitz,7799,277 West 231st Street,Bronx,10463
4511,Kevin C. Riley,7794,"940 East Gun Hill Road
Bronx, NY 10469
Tel: (718) 684-5509

Co-op City District Office
135 Einstein Loop
Bronx, NY 10475
Tel: 347-326-8652
Fax: 347-326-8653
",Bronx,10469
4517,Marjorie Velázquez,7807,,,
4488,Oswald Feliz,7798,573 East Fordham Road ,Bronx,10458
4515,Althea V.  Stevens,7809,1377 Jerome Avenue,Bronx,10452
4512,"Rafael Salamanca, Jr.",7714,1070 Southern Blvd.,Bronx,10459
4516,Sandra Ung,7812,"135-27 38 Ave, Suite 388",Flushing,11354
4504,Francisco P. Moya,7745,106-01 Corona Avenue,Corona,11368
4490,James F. Gennaro,5273,"180-32 Union Turnpike
Suite 1773
78-40 164th Street",Hillcrest,1366
4499,Shekar Krishnan,7815,"37-32 75th Street, 1st Floor",Jackson Heights,11372
4474,Adrienne E. Adams,7739,"165-38A Baisley Blvd., 2nd Floor",Jamaica,11434
4514,Lynn C. Schulman,7818,"118-35 Queens Boulevard, Suite 900",Forest Hills,11375
4491,Jennifer Gutiérrez,7821,"244 Union Avenue, 1st Floor",Brooklyn,11211
4507,Chi A. Ossé,7823,"1360 Fulton Street, 5th Floor, Suite 500",Brooklyn,11216
4506,Sandy Nurse,7824,56 Pennsylvania Avenue,Brooklyn,11207
4502,Darlene Mealy,6272,"400 Rockaway Avenue, Ground Floor",Brooklyn,11212
4478,Charles Barron,5288,447 New Lots Avenue,Brooklyn,11207
4521,Kalman Yeger ,7749,4424 16th Avenue,Brooklyn,11204
