File ,Law Number,Type,Status,Committee,Prime Sponsor,Council Member Sponsors,Title
T2023-3461,,Oversight,Deferred,"Committee on Cultural Affairs, Libraries and International Intergroup Relations",,0,Oversight - The Schomburg Center and the Role of Libraries and Cultural Organizations in Preserving New York City’s Histor
T2023-3335,,Oversight,Filed (End of Session),Committee on Hospitals,,0,Oversight - Access to Medication Abortion in NYC.
T2023-3334,,Oversight,Deferred,Committee on Women and Gender Equity,,0,Oversight - Access to Medication Abortion in NYC.
T2023-3333,,Oversight,Deferred,Committee on Health,,0,Oversight - Access to Medication Abortion in NYC.
Int 1281-2023,,Introduction,Filed (End of Session),Committee on Finance,Kalman Yeger,1,"A Local Law to amend the administrative code of the city of New York, in relation to a property tax exemption for members of a volunteer firefighting or ambulance service"
Res 0866-2023,,Resolution,Filed (End of Session),Committee on Public Safety,Robert F. Holden,1,"Resolution calling on the New York State Legislature to pass, and the New York State Governor to sign, S.2447/A.5234, which would increase the penalties for purposefully obstructed license plates."
Int 1277-2023,,Introduction,Filed (End of Session),Committee on Governmental Operations,Robert F. Holden,2,"A Local Law to amend the administrative code of the city of New York, in relation to requiring that persons making 311 complaints or requests for service provide the 311 customer service center with identifying information"
Int 1275-2023,,Introduction,Filed (End of Session),Committee on Consumer and Worker Protection,Gale A. Brewer,2,"A Local Law to amend the administrative code of the city of New York, in relation to vending on bridges"
M 0182-2023,,Communication,Filed (End of Session),Committee on Finance,,0,"Communication from the Office of Management & Budget - Transfer City funds between various agencies in Fiscal Year 2024 to implement changes to the City's expense budget, pursuant to Section 107(b) of the New York City Charter (MN-1)"
M 0183-2023,,Communication,Filed (End of Session),Committee on Finance,,0,"Communication from the Office of Management & Budget - Appropriation of new City revenues in Fiscal Year 2024, pursuant to Section 107(e) of the New York City Charter (MN-2)."
Res 0865-2023,,Resolution,Filed (End of Session),Committee on Consumer and Worker Protection,Tiffany Cabá,2,Resolution calling on the National Highway Traffic Safety Administration to institute a recall of Hyundai and Kia models lacking immobilizer technology that are vulnerable to theft.
M 0184-2023,,Communication,"Received, Ordered, Printed and Filed",City Council,,0,"Communication from the Board of Elections - The Commissioners of Elections at their meeting held on December 5, 2023 certified the November 7, 2023 General Election for Members of the City Council."
Int 1276-2023,,Introduction,Filed (End of Session),Committee on Transportation and Infrastructure,Jennifer Gutiérre,2,"A Local Law to amend the administrative code of the city of New York, in relation to requiring taxis and for-hire vehicles to display a decal warning passengers to look for cyclists when opening the door"
Int 1280-2023,,Introduction,Filed (End of Session),Committee on Criminal Justice,Althea V. Stevens,3,"A Local Law to amend the administrative code of the city of New York, in relation to requiring the department of correction to report on sexual abuse and harassment of staff and ensure that staff have access to mental health treatment resources."
Res 0868-2023,,Resolution,Filed (End of Session),Committee on Public Safety,Marjorie Velázque,2,"Resolution calling on the State Legislature to pass, and the Governor to sign legislation to increase criminal penalties for individuals who threaten, harass, or assault elected officials and their staff members."
Int 1279-2023,,Introduction,Filed (End of Session),Committee on Parks and Recreation,"Rafael Salamanca, Jr.",1,"A Local Law in relation to renaming one thoroughfare and public place in the Borough of the Bronx, Sheridan Boulevard, and to amend the official map of the city of New York accordingly"
Res 0867-2023,,Resolution,Filed (End of Session),Committee on Housing and Buildings,Marjorie Velázque,2,"Resolution calling on the New York State Legislature to pass, and the Governor to sign, A.7910/S.7298 to prohibit insurance discrimination because of the affordability of residential buildings and residential construction projects."
Res 0871-2023,,Resolution,Adopted,Committee on Finance,Justin L. Brannan,1,"Resolution approving an exemption from real property taxes for property located at (Block 2032, Lots 5, 6, 7, 8, & 9; Block 2045, Lot 37; Block 2133, Lots 10 & 13), Manhattan, pursuant to Section 577 of the Private Housing Finance Law (Preconsidered L.U. No. 299)."
Res 0870-2023,,Resolution,Adopted,Committee on Finance,Justin L. Brannan,1,"Resolution approving an additional period of exemption from real property taxes for property located at (Block 1841, Lot 1; Block 1863, Lot 29) Manhattan, pursuant to Section 125(1)(a-3) of the Private Housing Finance Law (Preconsidered L.U. No. 298)."
Res 0869-2023,,Resolution,Adopted,Committee on Finance,Justin L. Brannan,1,"Resolution approving an amendment to a previously approved real property tax exemption pursuant to Section 125(1)(a) of the Private Housing Finance Law for property located at (Block 1841, Lot 1; Block 1863, Lot 29), Manhattan (Preconsidered L.U. No. 298)."
