Type,Status,Committee,prime_sponsor,processed_text,joined_text
Resolution,Adopted,Committee on Finance,Justin L. Brannan,"['previously', 'approved', 'tax', 'private', 'housing', 'finance', 'tentative']",previously approved tax private housing finance tentative
Resolution,Adopted,"Committee on Rules, Privileges and Elections",Keith Powers,"['mayor', 'submitting', 'name', 'james', 'van', 'bramer', 'advice', 'consent', 'regarding', 'appointment', 'design', 'sections', 'charte']",mayor submitting name james van bramer advice consent regarding appointment design sections charte
Resolution,Adopted,"Committee on Rules, Privileges and Elections",Keith Powers,"['mayor', 'submitting', 'name', 'isabel', 'castilla', 'advice', 'consent', 'regarding', 'appointment', 'design', 'sections', 'charte']",mayor submitting name isabel castilla advice consent regarding appointment design sections charte
Land Use Application,Adopted,Committee on Finance,Justin L. Brannan,"['west', 'street', 'community']",west street community
Resolution,Adopted,Committee on Finance,Justin L. Brannan,"['designation', 'changes', 'designation', 'organizations', 'receive', 'funding', 'expense', 'budget']",designation changes designation organizations receive funding expense budget
Resolution,Adopted,"Committee on Rules, Privileges and Elections",Keith Powers,"['appointment', 'mayor', 'lily', 'shapiro', 'member', 'conditional', 'release']",appointment mayor lily shapiro member conditional release
Resolution,Adopted,"Committee on Rules, Privileges and Elections",Keith Powers,"['appointment', 'mayor', 'david', 'fullard', 'member', 'conditional', 'release']",appointment mayor david fullard member conditional release
Resolution,Adopted,"Committee on Rules, Privileges and Elections",Keith Powers,"['appointment', 'mayor', 'gregorio', 'mayers', 'member', 'conditional', 'release']",appointment mayor gregorio mayers member conditional release
Resolution,Adopted,Committee on Finance,Justin L. Brannan,"['previously', 'approved', 'tax', 'private', 'housing', 'finance']",previously approved tax private housing finance
Resolution,Adopted,Committee on Finance,Justin L. Brannan,"['previously', 'approved', 'tax', 'private', 'housing', 'finance']",previously approved tax private housing finance
Resolution,Adopted,Committee on Finance,Justin L. Brannan,"['taxes', 'lots', 'private', 'housing', 'finance']",taxes lots private housing finance
Resolution,Adopted,Committee on Finance,Justin L. Brannan,"['taxes', 'private', 'housing', 'finance']",taxes private housing finance
Resolution,Adopted,Committee on Finance,Justin L. Brannan,"['taxes', 'private', 'housing', 'finance']",taxes private housing finance
Land Use Application,Adopted,Committee on Finance,Justin L. Brannan,"['cb', 'whco', 'community']",cb whco community
Land Use Application,Adopted,Committee on Finance,Justin L. Brannan,"['west', 'st', 'community']",west st community
Land Use Application,Adopted,Committee on Finance,Justin L. Brannan,"['spruce', 'lots', 'community']",spruce lots community
Land Use Application,Adopted,Committee on Finance,Justin L. Brannan,"['sherwood', 'community']",sherwood community
Land Use Application,Adopted,Committee on Finance,Justin L. Brannan,"['yorkville', 'gardens', 'community']",yorkville gardens community
Resolution,Adopted,Committee on Finance,Justin L. Brannan,"['taxes', 'lots', 'lots', 'private', 'housing', 'finance']",taxes lots lots private housing finance
Resolution,Adopted,Committee on Finance,Justin L. Brannan,"['designation', 'changes', 'designation', 'organizations', 'receive', 'funding', 'expense', 'budget']",designation changes designation organizations receive funding expense budget
Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.","['site', 'plan', 'approximately', 'early', 'childhood', 'center', 'virginia', 'avenue', 'southwest', 'corner', 'intersection', 'bay', 'street', 'virginia', 'avenue', 'intersection', 'bay', 'street', 'virginia', 'avenue', 'east', 'side', 'virginia', 'avenue', 'community', 'community', 'school', 'g', 'scr']",site plan approximately early childhood center virginia avenue southwest corner intersection bay street virginia avenue intersection bay street virginia avenue east side virginia avenue community community school g scr
Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.","['decision', 'planning', 'ulurp', 'zsk', 'grant', 'special', 'permit']",decision planning ulurp zsk grant special permit
Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.","['decision', 'planning', 'ulurp', 'zsk', 'grant', 'special', 'permit']",decision planning ulurp zsk grant special permit
Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.","['modifications', 'decision', 'planning', 'zrk', 'text', 'zoning']",modifications decision planning zrk text zoning
Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.","['decision', 'planning', 'ulurp', 'zmk', 'zoning', 'map']",decision planning ulurp zmk zoning map
Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.","['decision', 'planning', 'zrk', 'text', 'zoning']",decision planning zrk text zoning
Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.","['decision', 'planning', 'ulurp', 'zmk', 'zoning', 'map']",decision planning ulurp zmk zoning map
Resolution,Filed,Committee on Land Use,"Rafael Salamanca, Jr.","['zrk', 'mcdonald', 'avenue', 'rezoning', 'development', 'llc', 'zoning', 'modifying', 'appendix', 'f', 'purpose', 'mandatory', 'inclusionary', 'housing', 'area', 'community']",zrk mcdonald avenue rezoning development llc zoning modifying appendix f purpose mandatory inclusionary housing area community
Resolution,Filed,Committee on Land Use,"Rafael Salamanca, Jr.","['zmk', 'mcdonald', 'avenue', 'rezoning', 'development', 'llc', 'sections', 'zoning', 'map', 'eliminating', 'within', 'existing', 'changing', 'community']",zmk mcdonald avenue rezoning development llc sections zoning map eliminating within existing changing community
Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.","['modifications', 'decision', 'planning', 'zrk', 'text', 'zoning']",modifications decision planning zrk text zoning
Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.","['decision', 'planning', 'ulurp', 'zmk', 'zoning', 'map']",decision planning ulurp zmk zoning map
Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.","['fourth', 'brownsville', 'ii', 'urban', 'renewal', 'plan', 'decision', 'planning', 'ulurp', 'huk']",fourth brownsville ii urban renewal plan decision planning ulurp huk
Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.","['housing', 'preservation', 'development', 'decision', 'planning', 'ulurp', 'hak', 'designation', 'urban', 'development', 'action', 'area', 'urban', 'development', 'action', 'area', 'project', 'disposition', 'livonia', 'avenue', 'christopher', 'avenue', 'mother', 'gaston', 'boulevard', 'lots', 'livonia', 'avenue', 'sackman', 'street', 'christopher', 'avenue', 'lots']",housing preservation development decision planning ulurp hak designation urban development action area urban development action area project disposition livonia avenue christopher avenue mother gaston boulevard lots livonia avenue sackman street christopher avenue lots
Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.","['modifications', 'decision', 'planning', 'ulurp', 'zsq', 'grant', 'special', 'permit']",modifications decision planning ulurp zsq grant special permit
Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.","['modifications', 'decision', 'planning', 'ulurp', 'zsq', 'grant', 'special', 'permit']",modifications decision planning ulurp zsq grant special permit
Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.","['modifications', 'decision', 'planning', 'ulurp', 'zsq', 'grant', 'special', 'permit']",modifications decision planning ulurp zsq grant special permit
Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.","['modifications', 'decision', 'planning', 'ulurp', 'zsq', 'grant', 'special', 'permit']",modifications decision planning ulurp zsq grant special permit
Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.","['modifications', 'decision', 'planning', 'ulurp', 'zsq', 'grant', 'special', 'permit']",modifications decision planning ulurp zsq grant special permit
Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.","['modifications', 'decision', 'planning', 'ulurp', 'zsq', 'grant', 'special', 'permit']",modifications decision planning ulurp zsq grant special permit
Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.","['modifications', 'decision', 'planning', 'ulurp', 'zsq', 'grant', 'special', 'permit']",modifications decision planning ulurp zsq grant special permit
Resolution,Adopted,Committee on Land Use,"Rafael Salamanca, Jr.","['modifications', 'decision', 'planning', 'zrq', 'text', 'zoning']",modifications decision planning zrq text zoning
